API ID,API_NM,CO_NM,1차제외,API 종료,표준진단제외,표준,비고,1차진단,2차진단대상
15034033,부산광역시_수유실 보유 시설 현황,부산광역시,,,,,,1차진단,진단대상
15034041,부산광역시_생활필수품 가격 정보,부산광역시,,,,,,1차진단,진단대상
15034068,부산광역시_건물부문 온실가스 배출현황,부산광역시,,,,,,1차진단,진단대상
15034074,부산광역시_주요 하천 수위 정보,부산광역시,,,,,,1차진단,진단대상
15034078,부산광역시_실시간 낙동강 염분 정보,부산광역시,,,,,,1차진단,진단대상
15056576,한국수자원공사_가뭄 수위관측소 운영정보,한국수자원공사,,,,,,1차진단,진단대상
15056826,한국수자원공사_가뭄 댐 운영정보,한국수자원공사,,,,,,1차진단,진단대상
15057079,한국수자원공사_국외 GTS관측소 관측정보,한국수자원공사,,,,,,1차진단,진단대상
15000385,전라북도 전주시_환승정보 서비스,전라북도 전주시,,,,,,1차진단,진단대상
15000400,전라북도_향토음식만들기서비스,전라북도,,,,,,1차진단,진단대상
15012185,전라북도 전주시_중개업소,전라북도 전주시,,,,,,1차진단,진단대상
3036599,전라북도 전주시_문화체험,전라북도 전주시,,,,,,1차진단,진단대상
3069073,전라북도 전주시_평생학습 교육강좌,전라북도 전주시,,,,,,1차진단,진단대상
15081373,전라남도_전남 사찰 명소 정보,전라남도,,,,,,1차진단,진단대상
15081419,전라남도_전남 생태자원 명소 정보,전라남도,,,,,,1차진단,진단대상
15081365,전라남도_전남 레포츠 명소 정보,전라남도,,,,,,1차진단,진단대상
15083980,전라남도_전남 체험 명소 정보,전라남도,,,,,,1차진단,진단대상
15083770,전라남도_가축방역 자료정보,전라남도,,,,,,1차진단,진단대상
15084016,전라남도_전남TV 남도문화유산 정보,전라남도,,,,,,1차진단,진단대상
15076798,전라남도 광양시_휴양림,전라남도 광양시,,,,,,1차진단,진단대상
15076276,전라남도 광양시_가로수,전라남도 광양시,,,,,,1차진단,진단대상
15077178,전라남도 광양시_도서관,전라남도 광양시,,,,,,1차진단,진단대상
15034452,부산광역시 돌발이벤트 정보,부산광역시,,,,,,1차진단,진단대상
15038559,충청남도_공주시_문화재정보,충청남도 공주시,,,,,,1차진단,진단대상
15057449,박물관미술관 정보 서비스,전라북도 김제시,,,,,,1차진단,진단대상
15058944,공연행사 정보 서비스,전라북도 김제시,,,,,,1차진단,진단대상
15000181,전라북도_분류별관광서비스,전라북도,,,,,,1차진단,진단대상
3045421,한국환경공단_RFID기반 음식물쓰레기 배출정보,한국환경공단,,,,,,1차진단,진단대상
3074798,한국수자원공사_수문제원현황,한국수자원공사,,,,,,1차진단,진단대상
3074802,한국수자원공사_우량수위 관측정보,한국수자원공사,,,,,,1차진단,진단대상
15040388,한국수자원공사_하수처리장 폐기물발생량,한국수자원공사,,,,,,1차진단,진단대상
15086202,한국산업인력공단_해외취업 멘토링 콘텐츠 정보,한국산업인력공단,,,,,,1차진단,진단대상
15086193,한국산업인력공단_국가별 해외취업자 통계,한국산업인력공단,,,,,,1차진단,진단대상
15085852,한국산업인력공단_해외인턴 공모전 정보,한국산업인력공단,,,,,,1차진단,진단대상
15064898,한국산업인력공단_기능경기 관련 정보,한국산업인력공단,,,,,,1차진단,진단대상
15063891,한국산업인력공단_과정평가형일학습병행  출제 관련 정보 서비스,한국산업인력공단,,,,,,1차진단,진단대상
3058512,행정안전부_지진해일 긴급대피장소,행정안전부,,,표준과 중복,,,1차진단,
15069637,한국산업인력공단_자격취득자 교육훈련 시스템 과정정보 서비스,한국산업인력공단,,,,,,1차진단,진단대상
15029006,한국산업인력공단_국가기술자격 대학별 학과 데이터,한국산업인력공단,,,,,,1차진단,진단대상
15057865,한국수자원공사_행정구역 월별 가뭄분석정보,한국수자원공사,,,,,,1차진단,진단대상
15073877,한국환경공단_에어코리아_측정소정보,한국환경공단,,,,,,1차진단,진단대상
15037355,한국산업인력공단_국가자격 계열별 학과 정보 데이터,한국산업인력공단,,,,,,1차진단,진단대상
15008905,경상남도 의령군_CCTV,경상남도 의령군,,,,,,1차진단,진단대상
15008891,경상남도 의령군_공중화장실,경상남도 의령군,,,,,,1차진단,진단대상
15000416,경상남도 창원시_노선별 버스위치목록,경상남도 창원시,,,,,,1차진단,진단대상
15005128,경상남도 거제시 의료기관 현황,경상남도 거제시,,,,,,1차진단,진단대상
15017665,경상남도 의령군_의료기관,경상남도 의령군,,,,,,1차진단,진단대상
15021030,행정안전부_지진겸용 임시주거시설,행정안전부,,,표준과 중복,,,1차진단,
15075871,제주특별자치도_대중교통 신호연계 정보 데이터 조회,제주특별자치도,,,,,,1차진단,진단대상
15039250,행정안전부_지진 옥외대피장소,행정안전부,,,표준과 중복,,,1차진단,
15062506,경상남도_농어업인 단체,경상남도,,,,,,1차진단,진단대상
15062907,경상남도_종합사회복지관시설,경상남도,,,,,,1차진단,진단대상
15062908,경상남도_주택현황 및 보급률,경상남도,,,,,,1차진단,진단대상
15062937,경상남도_가출노인찾기,경상남도,,,,,,1차진단,진단대상
15062900,경상남도_전통시장,경상남도,,,,,,1차진단,진단대상
15062510,경상남도_도소속기관,경상남도,,,,,,1차진단,진단대상
15062559,경상남도_사설학원 및 독서실,경상남도,,,,,,1차진단,진단대상
15062920,경상남도_축산농가,경상남도,,,,,,1차진단,진단대상
15062539,경상남도_미분양현황,경상남도,,,,,,1차진단,진단대상
15062561,경상남도_산림욕장,경상남도,,,,,,1차진단,진단대상
15062562,경상남도_산사태취약지역 지정현황,경상남도,,,,,,1차진단,진단대상
15062568,경상남도_상수원보호구역,경상남도,,,,,,1차진단,진단대상
15062551,경상남도_비영리민간단체,경상남도,,,,,,1차진단,진단대상
15062787,경상남도_시군별경지면적,경상남도,,,,,,1차진단,진단대상
15021089,농림축산식품부_가축사육정보,농림축산식품부,,,,,,1차진단,진단대상
15084205,한국부동산원_매입자 연령대별 부동산 거래 조회 서비스,한국부동산원,,,,,,1차진단,진단대상
15044696,국토교통부_주택인허가정보 서비스,국토교통부,,,,,,1차진단,진단대상
15046035,국토안전관리원_공공시설물 안전관리 정보조회 서비스,국토안전관리원,,,,,,1차진단,진단대상
15003180,한국부동산원_토지거래 현황,한국부동산원,,,,,,1차진단,진단대상
15002266,한국부동산원_매매가격지수 조회 서비스,한국부동산원,,,,,,1차진단,진단대상
15002275,한국부동산원_상업용부동산 임대동향 조사 통계 조회 서비스,한국부동산원,,,,,,1차진단,진단대상
15037524,한국산업인력공단_국가자격 통계연보 정보,한국산업인력공단,,,,,,1차진단,진단대상
15041600,한국산업인력공단_국가기술자격 종목 정보,한국산업인력공단,,,,,,1차진단,진단대상
15057907,울산광역시 거주자우선주차정보 API,울산광역시,,,,,,1차진단,진단대상
15079517,충청북도_도로관리사업소 연혁 및 운영방향,충청북도,,,,,,1차진단,진단대상
15079384,충청북도_기업진흥원 자금 금융지원 지원조건(2020년),충청북도,,,,,,1차진단,진단대상
15079363,충청북도_기업진흥원 일자리지원 주요사업,충청북도,,,,,,1차진단,진단대상
15057978,울산광역시 중금속측정 현황 API,울산광역시,,,,,,1차진단,진단대상
15058100,울산광역시_울산시 기업정보,울산광역시,,,,,,1차진단,진단대상
15085410,충청북도 괴산군_농기계임대정보,충청북도 괴산군,,,,,,1차진단,진단대상
15085435,충청북도 괴산군_렌터카업체정보,충청북도 괴산군,,,,,,1차진단,진단대상
15085492,충청북도 괴산군_전동휠체어급속충전기,충청북도 괴산군,,,,,,1차진단,진단대상
15079278,충청북도_충북도립대학교 졸업생의 취업현황,충청북도,,,,,,1차진단,진단대상
15059053,울산광역시 영남알프스 등산 정보,울산광역시,,,,,,1차진단,진단대상
15059146,울산광역시_대곡박물관 교육프로그램,울산광역시,,,,,,1차진단,진단대상
15079122,충청북도_충북연구원 진행연구 기획과제현황,충청북도,,,,,,1차진단,진단대상
15079346,충청북도_증평소방서 임용절차 체력검사점수 현황,충청북도,,,,,,1차진단,진단대상
15080999,충청남도 보령시_인구현황조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15081002,충청남도 보령시_제조업체공장현황정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
3043775,울산광역시_착한가격업소 현황,울산광역시,,,,,,1차진단,진단대상
3080824,울산광역시_자전거 도로 현황,울산광역시,,,,,,1차진단,진단대상
15012446,울산광역시_농어촌체험마을,울산광역시,,,,,,1차진단,진단대상
15079254,충청북도_충청북도 재난안전실 사회재난과 재난상황팀 월별재난발생현황(2009),충청북도,,,,,,1차진단,진단대상
15079097,충청북도_경제자유구역청 사업지원팀 에어로폴리스지구 토지이용계획현황,충청북도,,,,,,1차진단,진단대상
15080950,충청남도 보령시_노인복지시설현황정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15080985,충청남도 보령시_방문판매업현황정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15060304,충청남도 보령시_용역대금지급정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15060312,충청남도 보령시_용역수의계약정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15078965,충청북도_재난안전실 사회재난과 재난상황팀 지역재난안전대책본부 운영현황,충청북도,,,,,,1차진단,진단대상
15078948,충청북도_재난안전실 사회재난과 재난상황팀 재난관리 예산집행 현황,충청북도,,,,,,1차진단,진단대상
15078824,충청북도_충북도립대학교 중도탈락률,충청북도,,,,,,1차진단,진단대상
15078806,충청북도_충북도립대학교 중소기업산학협력센터 연도별 지원현황,충청북도,,,,,,1차진단,진단대상
15060052,충청남도 보령시_공사수의계약정보조회서비스,충청남도 보령시,,,,,,1차진단,진단대상
15079604,충청북도_음성소방서 위험물 제조소 등 현황,충청북도,,,,,,1차진단,진단대상
3069406,부산광역시_정비사업 정보,부산광역시,,,,,,1차진단,진단대상
3070628,부산시설공단 장례시설 이용현황,부산시설공단,,,,,,1차진단,진단대상
15079561,충청북도_영동소방서 소방대상물현황,충청북도,,,,,,1차진단,진단대상
15078541,충청북도_소방본부 공기충전기 안전관리 점검결과현황,충청북도,,,,,,1차진단,진단대상
15078597,충청북도_충북학사 동서울관 재사생 시군별현황,충청북도,,,,,,1차진단,진단대상
15078592,충청북도_충북학사 동서울관 재사생 학교별현황,충청북도,,,,,,1차진단,진단대상
15061491,대구광역시_평생학습포털_강좌조회서비스,대구광역시,,,,,,1차진단,진단대상
15001037,대구광역시_유량정보 조회 서비스,대구광역시,,,,,,1차진단,진단대상
15079542,충청북도_곤충산업 신고현황,충청북도,,,,,,1차진단,진단대상
3054892,대구광역시_관광지,대구광역시,,,,,,1차진단,진단대상
15059084,인천광역시_도착정보 조회,인천광역시,,,,,,1차진단,진단대상
15079537,충청북도_농가경제 현황,충청북도,,,,,,1차진단,진단대상
15079521,충청북도_농업생산통계 식량작물 재배면적(ha) 현황,충청북도,,,,,,1차진단,진단대상
15079004,충청북도_신성장산업국 신성장동력과 ICT융합팀 지역 SW산업진흥 기업 지원 현황,충청북도,,,,,,1차진단,진단대상
15079086,충청북도_경제자유구역청 사업지원팀 바이오메디컬지구 지원기관현황,충청북도,,,,,,1차진단,진단대상
15079214,충청북도_충주소방서 소방항공구조대 운항실적현황,충청북도,,,,,,1차진단,진단대상
15079355,충청북도_지역주도형 청년일자리 사업 추진현황,충청북도,,,,,,1차진단,진단대상
15079532,충청북도_도로관리사업소 기타장비 보유현황,충청북도,,,,,,1차진단,진단대상
15078986,충청북도_환경분야정보 대기환경 대기환경 기준,충청북도,,,,,,1차진단,진단대상
15078765,충청북도_도내 174개 하천 수질검사결과 조사결과(2019),충청북도,,,,,,1차진단,진단대상
15078750,충청북도_수질측정망 운영결과 조사항목,충청북도,,,,,,1차진단,진단대상
15077007,대전광역시 서구_홈페이지 채용정보 ODF현황조회,대전광역시 서구,,,,,,1차진단,진단대상
15077003,대전광역시 서구_홈페이지 언론보도ODF현황조회,대전광역시 서구,,,,,,1차진단,진단대상
15076994,대전광역시 서구_홈페이지 공보PDF ODF현황조회,대전광역시 서구,,,,,,1차진단,진단대상
15077985,대전광역시 서구_부동산중개업 현황,대전광역시 서구,,,,,,1차진단,진단대상
15078878,충청북도_대물림 업소(2020.10),충청북도,,,,,,1차진단,진단대상
3058174,행정안전부_재해위험지구 현황,행정안전부,,,표준과 중복,,,1차진단,
15000867,대전광역시 문화관광(쇼핑),대전광역시,,,,,,1차진단,진단대상
15078968,충청북도_환경분야정보 물환경 하천수질측정지점,충청북도,,,,,,1차진단,진단대상
15078971,충청북도_환경분야정보 물환경 하천발원지 현황(금강현황),충청북도,,,,,,1차진단,진단대상
15016646,대전광역시 유기동물공고 현황,대전광역시,,,,,,1차진단,진단대상
15078374,충청북도_고용동향 15세이상고용율,충청북도,,,,,,1차진단,진단대상
15079552,충청북도_동물위생시험소 주요 연구시설현황,충청북도,,,,,,1차진단,진단대상
15078361,충청북도_고용동향 비경제활동인구,충청북도,,,,,,1차진단,진단대상
15056589,울산광역시 건강증진센터 API,울산광역시,,,,,,1차진단,진단대상
15056638,울산광역시 민박펜션,울산광역시,,,,,,1차진단,진단대상
15057397,한국마사회 2착마 적중승식 예상배당률 정보,한국마사회,,,,,,1차진단,진단대상
15057498,한국마사회 출전마 체중 정보,한국마사회,,,,,,1차진단,진단대상
15063958,한국마사회_마필접종정보,한국마사회,,,,,,1차진단,진단대상
15000907,한국자산관리공사_정부재산정보공개조회서비스,한국자산관리공사,,,,,,1차진단,진단대상
15000947,농업기술실용화재단_RDA특허정보,농업기술실용화재단,,,,,,1차진단,진단대상
15074498,서민금융진흥원_서민금융교육컨텐츠정보서비스,서민금융진흥원,,,,,,1차진단,진단대상
15074500,서민금융진흥원_맞춤 대출 상품 속성 정보 서비스,서민금융진흥원,,,,,,1차진단,진단대상
15074507,서민금융진흥원_맞춤 대출 제휴 기관 정보 서비스,서민금융진흥원,,,,,,1차진단,진단대상
15074626,한국예탁결제원_증권예탁통계 서비스,한국예탁결제원,,,,,,1차진단,진단대상
15045739,농림수산식품교육문화정보원_표준코드조사가격 매핑 정보 서비스,농림수산식품교육문화정보원,,,,,,1차진단,진단대상
15058461,서울올림픽기념국민체육진흥공단_경정 - 선수정보,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15074595,한국예탁결제원_채권정보서비스,한국예탁결제원,,,,,,1차진단,진단대상
15075623,서울올림픽기념국민체육진흥공단_경륜선수_배번집계정보,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15072738,인천항만공사_인천항 연안여객터미널 여객정보 조회 서비스,인천항만공사,,,,,,1차진단,진단대상
15059966,해양환경공단_해양환경측정망 정점조회 서비스,해양환경공단,,,,,,1차진단,진단대상
15060000,서울에너지공사_열공급량,서울에너지공사,,,,,,1차진단,진단대상
15069348,한국승강기안전공단_승강기 설치정보,한국승강기안전공단,,,,,,1차진단,진단대상
15058428,예금보험공사_영업정지저축은행 주요 재무현황 보고서 조회 서비스,예금보험공사,,,,,,1차진단,진단대상
15075386,한국국제협력단_국가별 개발협력동향,한국국제협력단,,,,,,1차진단,진단대상
15075335,한국국제교류재단_해외대학 표준국문명칭,한국국제교류재단,,,,,,1차진단,진단대상
15000658,한국환경산업기술원_우수 재활용 상품 현황,한국환경산업기술원,,API 종료,,,,1차진단,
15058502,서울올림픽기념국민체육진흥공단_스포츠개발원 - 연구과제종합보고서 정보,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15082025,한국주택금융공사_MBB 발행금리정보,한국주택금융공사,,,,,,1차진단,진단대상
15000986,대전광역시도시철도공사_역간 소요시간/거리/요금_2020,대전광역시도시철도공사,,,,,,1차진단,진단대상
15058789,서울올림픽기념국민체육진흥공단_소마미술관 교육프로그램 서비스,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15056567,전북개발공사_임대아파트정보및보증금조회 서비스,전북개발공사,,,,,,1차진단,진단대상
15056642,서울올림픽기념국민체육진흥공단_경정 - 보트정보,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
3068728,한국전력공사_전기차 충전소 운영정보,한국전력공사,,,제공기관만 진단,,,1차진단,
15058923,축산물품질평가원_축산물통합이력정보,축산물품질평가원,,,,,,1차진단,진단대상
15059107,여수광양항만공사_부두별 화물 수송 통계,여수광양항만공사,,,,,,1차진단,진단대상
3073869,대전광역시도시철도공사_역명 및 주소,대전광역시도시철도공사,,,,,,1차진단,진단대상
15063974,한국마사회_발매창구정보,한국마사회,,,,,,1차진단,진단대상
15069245,농림수산식품교육문화정보원_생명자원정보 운영현황,농림수산식품교육문화정보원,,,,,,1차진단,진단대상
15056733,축산물품질평가원_축산물DNA동일성검사 업소정보,축산물품질평가원,,,,,,1차진단,진단대상
15056756,전북개발공사_계약 내역 조회 서비스,전북개발공사,,,,,,1차진단,진단대상
15056806,여수광양항만공사_컨테이너 수송 실적통계,여수광양항만공사,,,,,,1차진단,진단대상
15001000,한국연구재단_기초학문자료센터-연구성과물검색서비스,한국연구재단,진단제외,API 종료,,,,,
15056871,한국마사회 씨암말 정보,한국마사회,,,,,,1차진단,진단대상
15056922,한국관광공사_일문 관광정보 서비스,한국관광공사,,,,,,1차진단,진단대상
15056974,한국마사회 주행심사 상세결과,한국마사회,,,,,,1차진단,진단대상
15078046,한국소방산업기술원_위험물 승인정보,한국소방산업기술원,,,,,,1차진단,진단대상
15080907,대전광역시도시철도공사_공고내역,대전광역시도시철도공사,,,,,,1차진단,진단대상
15059482,한국마사회 대상경주 연간계획,한국마사회,,,,,,1차진단,진단대상
15000355,농림수산식품교육문화정보원_경락가격정보서비스,농림수산식품교육문화정보원,,,,,,1차진단,진단대상
15073500,한국관광공사_관광지 오디오 가이드 정보,한국관광공사,,,,,,1차진단,진단대상
15072319,서울올림픽기념국민체육진흥공단_경기력진단측정정보,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15069269,농림수산식품교육문화정보원_생명자원 품종출원정보,농림수산식품교육문화정보원,,,,,,1차진단,진단대상
15057237,서울올림픽기념국민체육진흥공단_소마미술관 조각작품현황 API 서비스,서울올림픽기념국민체육진흥공단,,,,,,1차진단,진단대상
15012299,농림수산식품교육문화정보원_산지공판장 경락가격정보,농림수산식품교육문화정보원,,,,,,1차진단,진단대상
15057323,한국마사회 경주마 레이팅 정보,한국마사회,,,,,,1차진단,진단대상
15063201,한국관광공사_고캠핑정보 조회 서비스,한국관광공사,,,,,,1차진단,진단대상
15085388,한국연구재단_KCI 학술지정보서비스,한국연구재단,,,,,,1차진단,진단대상
15059435,행정안전부_겨울철 제설장비 확보정보,행정안전부,,,,,,1차진단,진단대상
15074682,행정안전부_국가안전대진단 점검결과 조회 서비스,행정안전부,,,,,,1차진단,진단대상
15068993,대구경북과학기술원_대학 입시 질의응답 정보,대구경북과학기술원,,,,,,1차진단,진단대상
15000500,국토교통부_열차정보,국토교통부,,,,,,1차진단,진단대상
15074632,과학기술정보통신부_보도자료,과학기술정보통신부,,,,,,1차진단,진단대상
15074792,과학기술정보통신부_주요정책,과학기술정보통신부,,,,,,1차진단,진단대상
15074633,과학기술정보통신부_보도설명,과학기술정보통신부,,,,,,1차진단,진단대상
15000374,행정안전부_기부관련단체정보서비스,행정안전부,,,,,,1차진단,진단대상
15058476,한국토지주택공사_공공임대주택 단지정보 조회 서비스,한국토지주택공사,,,,,,1차진단,진단대상
15058508,국토교통부_공유지연명정보조회서비스,국토교통부,,,,,,1차진단,진단대상
15058530,한국토지주택공사_분양임대공고문 조회 서비스,한국토지주택공사,,,,,,1차진단,진단대상
15021183,한국토지주택공사 입찰공고정보,한국토지주택공사,,,,,,1차진단,진단대상
15058796,국토교통부_표준지공시지가정보서비스,국토교통부,,,,,,1차진단,진단대상
3072596,한국수자원공사_지방상수도 수질,한국수자원공사,,,제공기관만 진단,,,1차진단,
3050223,한국공항공사_공항 소음측정,한국공항공사,,,,,,1차진단,진단대상
15061362,국토교통부_키스콘 건설업체정보 서비스,국토교통부,,,,,,1차진단,진단대상
15056691,국토교통부_대지권등록정보조회서비스,국토교통부,,,,,,1차진단,진단대상
15059177,국토교통부_공동주택 입찰결과공지 정보제공 서비스,국토교통부,,,,,,1차진단,진단대상
3071485,한국사회적기업진흥원_사회적기업 정보,한국사회적기업진흥원,,,표준과 중복,,,1차진단,
15035136,대구경북과학기술원_연구인프라교육정보,대구경북과학기술원,,,,,,1차진단,진단대상
15056788,한국부동산원_월세가격지수 조회 서비스,한국부동산원,,,,,,1차진단,진단대상
15056803,한국공항공사_전국공항 실시간 주차정보,한국공항공사,,,,,,1차진단,진단대상
15059249,국토교통부_오피스텔 전월세 신고 조회 서비스,국토교통부,,,,,,1차진단,진단대상
15077979,행정안전부_통계연보_행정부 공무원 정원,행정안전부,,,,,,1차진단,진단대상
15056956,인천국제공항공사_시간대별 항공통계 서비스,인천국제공항공사,,,,,,1차진단,진단대상
15064293,방위사업청_국방표준종합서비스,방위사업청,,,,,,1차진단,진단대상
15085254,한국연구재단_외국교육기관 및 외국인학교 종합안내,한국연구재단,,,,,,1차진단,진단대상
15077975,행정안전부_통계연보_지역별 행정구역,행정안전부,,,,,,1차진단,진단대상
15077962,행정안전부_통계연보_주요 도시 폭염 일수,행정안전부,,,,,,1차진단,진단대상
15077905,행정안전부_통계연보_연도별 기록물 열람,행정안전부,,,,,,1차진단,진단대상
15077947,행정안전부_통계연보_옥외광고물 허가 및 신고,행정안전부,,,,,,1차진단,진단대상
15077937,행정안전부_통계연보_연도별 정보시스템,행정안전부,,,,,,1차진단,진단대상
15077898,행정안전부_통계연보_골목상권 활성화 사업,행정안전부,,,,,,1차진단,진단대상
15077901,행정안전부_통계연보_기록물관리 전문교육과정,행정안전부,,,,,,1차진단,진단대상
